Year,Units,Display,Time series,Region,GeoCode,Value
2005,Number,Time series,EMAS organisations,Saxony,code14,53.0
2006,Number,Time series,EMAS organisations,Saxony,code14,47.0
2007,Number,Time series,EMAS organisations,Saxony,code14,46.0
2008,Number,Time series,EMAS organisations,Saxony,code14,42.0
2009,Number,Time series,EMAS organisations,Saxony,code14,40.0
2010,Number,Time series,EMAS organisations,Saxony,code14,36.0
2011,Number,Time series,EMAS organisations,Saxony,code14,35.0
2012,Number,Time series,EMAS organisations,Saxony,code14,35.0
2013,Number,Time series,EMAS organisations,Saxony,code14,33.0
2014,Number,Time series,EMAS organisations,Saxony,code14,33.0
2015,Number,Time series,EMAS organisations,Saxony,code14,32.0
2016,Number,Time series,EMAS organisations,Saxony,code14,32.0
2017,Number,Time series,EMAS organisations,Saxony,code14,33.0
2018,Number,Time series,EMAS organisations,Saxony,code14,30.0
2019,Number,Time series,EMAS organisations,Saxony,code14,29.0
2020,Number,Time series,EMAS organisations,Saxony,code14,25.0
2005,Number,Time series,EMAS organisations,Saxony-Anhalt,code15,34.0
2006,Number,Time series,EMAS organisations,Saxony-Anhalt,code15,34.0
2007,Number,Time series,EMAS organisations,Saxony-Anhalt,code15,37.0
2008,Number,Time series,EMAS organisations,Saxony-Anhalt,code15,38.0
2009,Number,Time series,EMAS organisations,Saxony-Anhalt,code15,35.0
2010,Number,Time series,EMAS organisations,Saxony-Anhalt,code15,35.0
2011,Number,Time series,EMAS organisations,Saxony-Anhalt,code15,28.0
2012,Number,Time series,EMAS organisations,Saxony-Anhalt,code15,28.0
2013,Number,Time series,EMAS organisations,Saxony-Anhalt,code15,28.0
2014,Number,Time series,EMAS organisations,Saxony-Anhalt,code15,24.0
2015,Number,Time series,EMAS organisations,Saxony-Anhalt,code15,21.0
2016,Number,Time series,EMAS organisations,Saxony-Anhalt,code15,21.0
2017,Number,Time series,EMAS organisations,Saxony-Anhalt,code15,22.0
2018,Number,Time series,EMAS organisations,Saxony-Anhalt,code15,22.0
2019,Number,Time series,EMAS organisations,Saxony-Anhalt,code15,23.0
2020,Number,Time series,EMAS organisations,Saxony-Anhalt,code15,21.0
2005,Number,Time series,EMAS organisations,Schleswig-Holstein,code01,72.0
2006,Number,Time series,EMAS organisations,Schleswig-Holstein,code01,72.0
2007,Number,Time series,EMAS organisations,Schleswig-Holstein,code01,66.0
2008,Number,Time series,EMAS organisations,Schleswig-Holstein,code01,59.0
2009,Number,Time series,EMAS organisations,Schleswig-Holstein,code01,50.0
2010,Number,Time series,EMAS organisations,Schleswig-Holstein,code01,36.0
2011,Number,Time series,EMAS organisations,Schleswig-Holstein,code01,34.0
2012,Number,Time series,EMAS organisations,Schleswig-Holstein,code01,26.0
2013,Number,Time series,EMAS organisations,Schleswig-Holstein,code01,26.0
2014,Number,Time series,EMAS organisations,Schleswig-Holstein,code01,22.0
2015,Number,Time series,EMAS organisations,Schleswig-Holstein,code01,17.0
2016,Number,Time series,EMAS organisations,Schleswig-Holstein,code01,18.0
2017,Number,Time series,EMAS organisations,Schleswig-Holstein,code01,18.0
2018,Number,Time series,EMAS organisations,Schleswig-Holstein,code01,15.0
2019,Number,Time series,EMAS organisations,Schleswig-Holstein,code01,15.0
2020,Number,Time series,EMAS organisations,Schleswig-Holstein,code01,16.0
2005,Number,Time series,EMAS organisations,Thuringia,code16,112.0
2006,Number,Time series,EMAS organisations,Thuringia,code16,107.0
2007,Number,Time series,EMAS organisations,Thuringia,code16,85.0
2008,Number,Time series,EMAS organisations,Thuringia,code16,84.0
2009,Number,Time series,EMAS organisations,Thuringia,code16,63.0
2010,Number,Time series,EMAS organisations,Thuringia,code16,51.0
2011,Number,Time series,EMAS organisations,Thuringia,code16,43.0
2012,Number,Time series,EMAS organisations,Thuringia,code16,40.0
2013,Number,Time series,EMAS organisations,Thuringia,code16,43.0
2014,Number,Time series,EMAS organisations,Thuringia,code16,43.0
2015,Number,Time series,EMAS organisations,Thuringia,code16,47.0
2016,Number,Time series,EMAS organisations,Thuringia,code16,49.0
2017,Number,Time series,EMAS organisations,Thuringia,code16,48.0
2018,Number,Time series,EMAS organisations,Thuringia,code16,47.0
2019,Number,Time series,EMAS organisations,Thuringia,code16,51.0
2020,Number,Time series,EMAS organisations,Thuringia,code16,50.0
