Year,Value,Units,Series,GeoCode
2005,16.5,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2006,17.2,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2007,16.9,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2008,17.2,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2009,17.4,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2010,17.4,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2011,17.9,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2012,18.0,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2013,18.5,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2014,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2015,12.1,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2016,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2017,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2018,11.1,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2019,10.6,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2020,11.0,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1996,-0.7,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1997,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1998,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1999,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2000,1.4,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2001,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2002,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2003,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2004,0.3,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2005,0.3,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2006,0.2,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2007,0.3,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2008,0.3,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2009,0.3,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2010,0.4,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2011,0.3,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2012,0.1,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2013,0.0,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2014,0.0,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2015,-0.1,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2016,0.1,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2017,0.1,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2018,0.2,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2019,0.2,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2020,0.1,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1996,6.9,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1997,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1998,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1999,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2000,9.3,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2001,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2002,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2003,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2004,8.2,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2005,8.6,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2006,8.7,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2007,8.3,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2008,9.5,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2009,8.4,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2010,7.5,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2011,6.6,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2012,4.6,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2013,5.7,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2014,5.2,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2015,4.9,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2016,4.7,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2017,2.1,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2018,1.7,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
