Year,Units,degree of urbanisation,federal state,GeoCode,Value
2016,m² per inhabitant and year,,,,-15.4
2017,m² per inhabitant and year,,,,-9.7
2018,m² per inhabitant and year,,,,-6.3
2019,m² per inhabitant and year,,,,-5.6
2020,m² per inhabitant and year,,,,3.9
2004,m² per inhabitant and year,,,,
2005,m² per inhabitant and year,,,,
2006,m² per inhabitant and year,,,,
2007,m² per inhabitant and year,,,,
2008,m² per inhabitant and year,,,,
2009,m² per inhabitant and year,,,,-0.1
2010,m² per inhabitant and year,,,,-1.7
2011,m² per inhabitant and year,,,,-1.3
2012,m² per inhabitant and year,,,,-1.3
2013,m² per inhabitant and year,,,,-1.5
2014,m² per inhabitant and year,,,,-0.9
2015,m² per inhabitant and year,,,,-3.0
2016,m² per inhabitant and year,,,,-3.0
2017,m² per inhabitant and year,,,,-2.9
2018,m² per inhabitant and year,,,,-2.7
2019,m² per inhabitant and year,,,,-0.4
2020,m² per inhabitant and year,,,,0.7
2004,m² per inhabitant and year,,,,
2005,m² per inhabitant and year,,,,
2006,m² per inhabitant and year,,,,
2007,m² per inhabitant and year,,,,
2008,m² per inhabitant and year,,,,
2009,m² per inhabitant and year,,,,-19.3
2010,m² per inhabitant and year,,,,-18.4
2011,m² per inhabitant and year,,,,-14.6
2012,m² per inhabitant and year,,,,-12.9
2013,m² per inhabitant and year,,,,-9.5
2014,m² per inhabitant and year,,,,-6.3
2015,m² per inhabitant and year,,,,-7.6
2016,m² per inhabitant and year,,,,-17.2
2017,m² per inhabitant and year,,,,-10.6
2018,m² per inhabitant and year,,,,-9.7
2019,m² per inhabitant and year,,,,-6.4
2020,m² per inhabitant and year,,,,4.4
2004,m² per inhabitant and year,,,,-6.6
2005,m² per inhabitant and year,,,,-6.5
2006,m² per inhabitant and year,,,,-6.4
2007,m² per inhabitant and year,,,,-6.1
2008,m² per inhabitant and year,,,,-5.3
2009,m² per inhabitant and year,,,,-4.7
2010,m² per inhabitant and year,,,,-4.4
2011,m² per inhabitant and year,,,,-4.9
2012,m² per inhabitant and year,,,,-4.8
2013,m² per inhabitant and year,,,,-4.9
2014,m² per inhabitant and year,,,,-5.2
2015,m² per inhabitant and year,,,,-4.5
2016,m² per inhabitant and year,,,,-3.5
2017,m² per inhabitant and year,,,,-3.1
2018,m² per inhabitant and year,,,,-2.7
2019,m² per inhabitant and year,,,,-2.3
2020,m² per inhabitant and year,,,,-3.0
2004,m² per inhabitant and year,,,,
2005,m² per inhabitant and year,,,,
2006,m² per inhabitant and year,,,,
2007,m² per inhabitant and year,,,,
2008,m² per inhabitant and year,,,,
2009,m² per inhabitant and year,,,,-1.2
2010,m² per inhabitant and year,,,,-1.6
2011,m² per inhabitant and year,,,,-2.4
2012,m² per inhabitant and year,,,,-2.1
2013,m² per inhabitant and year,,,,-2.1
2014,m² per inhabitant and year,,,,-1.8
2015,m² per inhabitant and year,,,,-1.1
2016,m² per inhabitant and year,,,,-0.5
2017,m² per inhabitant and year,,,,-0.2
2018,m² per inhabitant and year,,,,-0.4
2019,m² per inhabitant and year,,,,-0.5
2020,m² per inhabitant and year,,,,-0.9
2004,m² per inhabitant and year,,,,
2005,m² per inhabitant and year,,,,
2006,m² per inhabitant and year,,,,
2007,m² per inhabitant and year,,,,
2008,m² per inhabitant and year,,,,
2009,m² per inhabitant and year,,,,-4.8
2010,m² per inhabitant and year,,,,-4.5
2011,m² per inhabitant and year,,,,-5.6
2012,m² per inhabitant and year,,,,-5.6
2013,m² per inhabitant and year,,,,-5.7
2014,m² per inhabitant and year,,,,-6.2
2015,m² per inhabitant and year,,,,-5.6
2016,m² per inhabitant and year,,,,-4.4
2017,m² per inhabitant and year,,,,-4.0
2018,m² per inhabitant and year,,,,-3.5
2019,m² per inhabitant and year,,,,-2.9
2020,m² per inhabitant and year,,,,-3.6
2004,m² per inhabitant and year,,,,-3.1
2005,m² per inhabitant and year,,,,-2.9
2006,m² per inhabitant and year,,,,-2.9
2007,m² per inhabitant and year,,,,-3.1
2008,m² per inhabitant and year,,,,-2.9
2009,m² per inhabitant and year,,,,-2.7
2010,m² per inhabitant and year,,,,-2.5
2011,m² per inhabitant and year,,,,-2.3
2012,m² per inhabitant and year,,,,-2.1
2013,m² per inhabitant and year,,,,-2.1
2014,m² per inhabitant and year,,,,-2.0
2015,m² per inhabitant and year,,,,-2.0
2016,m² per inhabitant and year,,,,-1.0
2017,m² per inhabitant and year,,,,-0.9
2018,m² per inhabitant and year,,,,-0.6
